ap,signal,sequence,x,y,z
A,11.0,0.0,22.0,17.0,2.0
A,10.0,1.0,22.0,17.0,2.0
A,10.0,2.0,22.0,17.0,2.0
A,9.0,3.0,22.0,17.0,2.0
A,11.0,4.0,22.0,17.0,2.0
A,11.0,5.0,22.0,17.0,2.0
A,12.0,6.0,22.0,17.0,2.0
A,13.0,7.0,22.0,17.0,2.0
A,12.0,8.0,22.0,17.0,2.0
A,12.0,9.0,22.0,17.0,2.0
A,11.0,10.0,22.0,17.0,2.0
A,11.0,11.0,22.0,17.0,2.0
A,12.0,12.0,22.0,17.0,2.0
A,11.0,13.0,22.0,17.0,2.0
A,11.0,14.0,22.0,17.0,2.0
A,9.0,15.0,22.0,17.0,2.0
A,9.0,16.0,22.0,17.0,2.0
A,10.0,17.0,22.0,17.0,2.0
A,10.0,18.0,22.0,17.0,2.0
B,26.0,0.0,22.0,17.0,2.0
B,27.0,1.0,22.0,17.0,2.0
B,27.0,2.0,22.0,17.0,2.0
B,27.0,3.0,22.0,17.0,2.0
B,28.0,4.0,22.0,17.0,2.0
B,27.0,5.0,22.0,17.0,2.0
B,26.0,6.0,22.0,17.0,2.0
B,27.0,7.0,22.0,17.0,2.0
B,27.0,8.0,22.0,17.0,2.0
B,29.0,9.0,22.0,17.0,2.0
D,52.0,0.0,22.0,17.0,2.0
D,49.0,1.0,22.0,17.0,2.0
D,52.0,2.0,22.0,17.0,2.0
D,48.0,3.0,22.0,17.0,2.0
D,53.0,4.0,22.0,17.0,2.0
D,49.0,5.0,22.0,17.0,2.0
C,23.0,0.0,22.0,17.0,2.0
C,23.0,1.0,22.0,17.0,2.0
C,23.0,2.0,22.0,17.0,2.0
C,24.0,3.0,22.0,17.0,2.0
C,23.0,4.0,22.0,17.0,2.0
C,24.0,5.0,22.0,17.0,2.0
C,24.0,6.0,22.0,17.0,2.0
C,24.0,7.0,22.0,17.0,2.0
C,22.0,8.0,22.0,17.0,2.0
C,23.0,9.0,22.0,17.0,2.0
A,11.0,19.0,22.0,17.0,2.0
A,11.0,20.0,22.0,17.0,2.0
A,11.0,21.0,22.0,17.0,2.0
A,12.0,22.0,22.0,17.0,2.0
A,11.0,23.0,22.0,17.0,2.0
A,10.0,24.0,22.0,17.0,2.0
A,10.0,25.0,22.0,17.0,2.0
A,11.0,26.0,22.0,17.0,2.0
A,8.0,27.0,22.0,17.0,2.0
A,7.0,28.0,22.0,17.0,2.0
A,10.0,29.0,22.0,17.0,2.0
A,10.0,30.0,22.0,17.0,2.0
A,8.0,31.0,22.0,17.0,2.0
A,7.0,32.0,22.0,17.0,2.0
A,7.0,33.0,22.0,17.0,2.0
A,11.0,34.0,22.0,17.0,2.0
A,7.0,35.0,22.0,17.0,2.0
A,11.0,36.0,22.0,17.0,2.0
A,9.0,37.0,22.0,17.0,2.0
B,29.0,10.0,22.0,17.0,2.0
B,30.0,11.0,22.0,17.0,2.0
B,30.0,12.0,22.0,17.0,2.0
B,30.0,13.0,22.0,17.0,2.0
B,30.0,14.0,22.0,17.0,2.0
B,30.0,15.0,22.0,17.0,2.0
B,30.0,16.0,22.0,17.0,2.0
B,31.0,17.0,22.0,17.0,2.0
B,30.0,18.0,22.0,17.0,2.0
B,29.0,19.0,22.0,17.0,2.0
D,48.0,6.0,22.0,17.0,2.0
D,48.0,7.0,22.0,17.0,2.0
D,46.0,8.0,22.0,17.0,2.0
D,49.0,9.0,22.0,17.0,2.0
C,18.0,10.0,22.0,17.0,2.0
C,26.0,11.0,22.0,17.0,2.0
C,25.0,12.0,22.0,17.0,2.0
C,24.0,13.0,22.0,17.0,2.0
C,23.0,14.0,22.0,17.0,2.0
C,24.0,15.0,22.0,17.0,2.0
C,25.0,16.0,22.0,17.0,2.0
C,23.0,17.0,22.0,17.0,2.0
C,24.0,18.0,22.0,17.0,2.0
C,24.0,19.0,22.0,17.0,2.0
A,7.0,38.0,22.0,17.0,2.0
A,8.0,39.0,22.0,17.0,2.0
A,6.0,40.0,22.0,17.0,2.0
A,8.0,41.0,22.0,17.0,2.0
A,11.0,42.0,22.0,17.0,2.0
A,11.0,43.0,22.0,17.0,2.0
A,11.0,44.0,22.0,17.0,2.0
A,11.0,45.0,22.0,17.0,2.0
A,11.0,46.0,22.0,17.0,2.0
A,10.0,47.0,22.0,17.0,2.0
A,9.0,48.0,22.0,17.0,2.0
A,10.0,49.0,22.0,17.0,2.0
A,11.0,50.0,22.0,17.0,2.0
A,9.0,51.0,22.0,17.0,2.0
A,9.0,52.0,22.0,17.0,2.0
A,9.0,53.0,22.0,17.0,2.0
A,10.0,54.0,22.0,17.0,2.0
A,9.0,55.0,22.0,17.0,2.0
A,10.0,56.0,22.0,17.0,2.0
B,32.0,20.0,22.0,17.0,2.0
B,31.0,21.0,22.0,17.0,2.0
B,30.0,22.0,22.0,17.0,2.0
B,32.0,23.0,22.0,17.0,2.0
B,32.0,24.0,22.0,17.0,2.0
B,30.0,25.0,22.0,17.0,2.0
B,30.0,26.0,22.0,17.0,2.0
B,30.0,27.0,22.0,17.0,2.0
B,30.0,28.0,22.0,17.0,2.0
B,30.0,29.0,22.0,17.0,2.0
D,52.0,10.0,22.0,17.0,2.0
D,51.0,11.0,22.0,17.0,2.0
D,49.0,12.0,22.0,17.0,2.0
D,52.0,13.0,22.0,17.0,2.0
D,48.0,14.0,22.0,17.0,2.0
D,51.0,15.0,22.0,17.0,2.0
D,48.0,16.0,22.0,17.0,2.0
D,53.0,17.0,22.0,17.0,2.0
C,23.0,20.0,22.0,17.0,2.0
C,23.0,21.0,22.0,17.0,2.0
C,24.0,22.0,22.0,17.0,2.0
C,23.0,23.0,22.0,17.0,2.0
C,23.0,24.0,22.0,17.0,2.0
C,24.0,25.0,22.0,17.0,2.0
C,24.0,26.0,22.0,17.0,2.0
C,25.0,27.0,22.0,17.0,2.0
C,25.0,28.0,22.0,17.0,2.0
C,23.0,29.0,22.0,17.0,2.0
A,12.0,57.0,22.0,17.0,2.0
A,11.0,58.0,22.0,17.0,2.0
A,11.0,59.0,22.0,17.0,2.0
A,11.0,60.0,22.0,17.0,2.0
A,11.0,61.0,22.0,17.0,2.0
A,11.0,62.0,22.0,17.0,2.0
A,12.0,63.0,22.0,17.0,2.0
A,11.0,64.0,22.0,17.0,2.0
A,9.0,65.0,22.0,17.0,2.0
A,13.0,66.0,22.0,17.0,2.0
A,9.0,67.0,22.0,17.0,2.0
A,9.0,68.0,22.0,17.0,2.0
A,10.0,69.0,22.0,17.0,2.0
A,12.0,70.0,22.0,17.0,2.0
A,9.0,71.0,22.0,17.0,2.0
A,10.0,72.0,22.0,17.0,2.0
A,9.0,73.0,22.0,17.0,2.0
A,10.0,74.0,22.0,17.0,2.0
A,13.0,75.0,22.0,17.0,2.0
B,33.0,30.0,22.0,17.0,2.0
B,33.0,31.0,22.0,17.0,2.0
B,32.0,32.0,22.0,17.0,2.0
B,33.0,33.0,22.0,17.0,2.0
B,34.0,34.0,22.0,17.0,2.0
B,32.0,35.0,22.0,17.0,2.0
B,32.0,36.0,22.0,17.0,2.0
B,32.0,37.0,22.0,17.0,2.0
B,32.0,38.0,22.0,17.0,2.0
B,32.0,39.0,22.0,17.0,2.0
D,48.0,18.0,22.0,17.0,2.0
D,51.0,19.0,22.0,17.0,2.0
D,48.0,20.0,22.0,17.0,2.0
D,52.0,21.0,22.0,17.0,2.0
D,49.0,22.0,22.0,17.0,2.0
C,23.0,30.0,22.0,17.0,2.0
C,23.0,31.0,22.0,17.0,2.0
C,23.0,32.0,22.0,17.0,2.0
C,23.0,33.0,22.0,17.0,2.0
C,22.0,34.0,22.0,17.0,2.0
C,23.0,35.0,22.0,17.0,2.0
C,23.0,36.0,22.0,17.0,2.0
C,24.0,37.0,22.0,17.0,2.0
C,23.0,38.0,22.0,17.0,2.0
C,24.0,39.0,22.0,17.0,2.0
A,9.0,76.0,22.0,17.0,2.0
A,10.0,77.0,22.0,17.0,2.0
A,10.0,78.0,22.0,17.0,2.0
A,10.0,79.0,22.0,17.0,2.0
A,9.0,80.0,22.0,17.0,2.0
A,10.0,81.0,22.0,17.0,2.0
A,10.0,82.0,22.0,17.0,2.0
A,10.0,83.0,22.0,17.0,2.0
A,9.0,84.0,22.0,17.0,2.0
A,10.0,85.0,22.0,17.0,2.0
A,11.0,86.0,22.0,17.0,2.0
A,11.0,87.0,22.0,17.0,2.0
A,10.0,88.0,22.0,17.0,2.0
A,10.0,89.0,22.0,17.0,2.0
A,13.0,90.0,22.0,17.0,2.0
A,10.0,91.0,22.0,17.0,2.0
A,9.0,92.0,22.0,17.0,2.0
A,12.0,93.0,22.0,17.0,2.0
A,10.0,94.0,22.0,17.0,2.0
B,31.0,40.0,22.0,17.0,2.0
B,31.0,41.0,22.0,17.0,2.0
B,31.0,42.0,22.0,17.0,2.0
B,30.0,43.0,22.0,17.0,2.0
B,31.0,44.0,22.0,17.0,2.0
B,30.0,45.0,22.0,17.0,2.0
B,30.0,46.0,22.0,17.0,2.0
B,29.0,47.0,22.0,17.0,2.0
B,29.0,48.0,22.0,17.0,2.0
B,30.0,49.0,22.0,17.0,2.0
D,49.0,23.0,22.0,17.0,2.0
D,50.0,24.0,22.0,17.0,2.0
C,25.0,40.0,22.0,17.0,2.0
C,24.0,41.0,22.0,17.0,2.0
C,25.0,42.0,22.0,17.0,2.0
C,26.0,43.0,22.0,17.0,2.0
C,25.0,44.0,22.0,17.0,2.0
C,24.0,45.0,22.0,17.0,2.0
C,23.0,46.0,22.0,17.0,2.0
C,24.0,47.0,22.0,17.0,2.0
C,24.0,48.0,22.0,17.0,2.0
C,24.0,49.0,22.0,17.0,2.0
A,9.0,95.0,22.0,17.0,2.0
A,11.0,96.0,22.0,17.0,2.0
A,11.0,97.0,22.0,17.0,2.0
A,9.0,98.0,22.0,17.0,2.0
A,10.0,99.0,22.0,17.0,2.0
A,8.0,100.0,22.0,17.0,2.0
A,12.0,101.0,22.0,17.0,2.0
A,11.0,102.0,22.0,17.0,2.0
A,12.0,103.0,22.0,17.0,2.0
A,11.0,104.0,22.0,17.0,2.0
A,10.0,105.0,22.0,17.0,2.0
A,11.0,106.0,22.0,17.0,2.0
A,7.0,107.0,22.0,17.0,2.0
A,8.0,108.0,22.0,17.0,2.0
A,8.0,109.0,22.0,17.0,2.0
A,8.0,110.0,22.0,17.0,2.0
A,8.0,111.0,22.0,17.0,2.0
A,8.0,112.0,22.0,17.0,2.0
A,8.0,113.0,22.0,17.0,2.0
A,8.0,114.0,22.0,17.0,2.0
B,30.0,50.0,22.0,17.0,2.0
B,30.0,51.0,22.0,17.0,2.0
B,31.0,52.0,22.0,17.0,2.0
B,30.0,53.0,22.0,17.0,2.0
B,31.0,54.0,22.0,17.0,2.0
B,30.0,55.0,22.0,17.0,2.0
B,30.0,56.0,22.0,17.0,2.0
B,29.0,57.0,22.0,17.0,2.0
B,30.0,58.0,22.0,17.0,2.0
B,29.0,59.0,22.0,17.0,2.0
D,47.0,25.0,22.0,17.0,2.0
D,47.0,26.0,22.0,17.0,2.0
D,47.0,27.0,22.0,17.0,2.0
C,25.0,50.0,22.0,17.0,2.0
C,25.0,51.0,22.0,17.0,2.0
C,25.0,52.0,22.0,17.0,2.0
C,25.0,53.0,22.0,17.0,2.0
C,25.0,54.0,22.0,17.0,2.0
C,25.0,55.0,22.0,17.0,2.0
C,25.0,56.0,22.0,17.0,2.0
C,25.0,57.0,22.0,17.0,2.0
C,24.0,58.0,22.0,17.0,2.0
C,25.0,59.0,22.0,17.0,2.0
A,10.0,115.0,22.0,17.0,2.0
A,11.0,116.0,22.0,17.0,2.0
A,10.0,117.0,22.0,17.0,2.0
A,9.0,118.0,22.0,17.0,2.0
A,9.0,119.0,22.0,17.0,2.0
A,10.0,120.0,22.0,17.0,2.0
A,12.0,121.0,22.0,17.0,2.0
A,12.0,122.0,22.0,17.0,2.0
A,12.0,123.0,22.0,17.0,2.0
A,12.0,124.0,22.0,17.0,2.0
A,10.0,125.0,22.0,17.0,2.0
A,11.0,126.0,22.0,17.0,2.0
A,8.0,127.0,22.0,17.0,2.0
A,7.0,128.0,22.0,17.0,2.0
A,9.0,129.0,22.0,17.0,2.0
A,9.0,130.0,22.0,17.0,2.0
A,11.0,131.0,22.0,17.0,2.0
A,9.0,132.0,22.0,17.0,2.0
A,11.0,133.0,22.0,17.0,2.0
A,8.0,134.0,22.0,17.0,2.0
B,29.0,60.0,22.0,17.0,2.0
B,30.0,61.0,22.0,17.0,2.0
B,30.0,62.0,22.0,17.0,2.0
B,31.0,63.0,22.0,17.0,2.0
B,31.0,64.0,22.0,17.0,2.0
B,30.0,65.0,22.0,17.0,2.0
B,30.0,66.0,22.0,17.0,2.0
B,30.0,67.0,22.0,17.0,2.0
B,29.0,68.0,22.0,17.0,2.0
B,30.0,69.0,22.0,17.0,2.0
D,50.0,28.0,22.0,17.0,2.0
D,49.0,29.0,22.0,17.0,2.0
D,46.0,30.0,22.0,17.0,2.0
D,49.0,31.0,22.0,17.0,2.0
D,50.0,32.0,22.0,17.0,2.0
C,23.0,60.0,22.0,17.0,2.0
C,24.0,61.0,22.0,17.0,2.0
C,24.0,62.0,22.0,17.0,2.0
C,24.0,63.0,22.0,17.0,2.0
C,23.0,64.0,22.0,17.0,2.0
C,24.0,65.0,22.0,17.0,2.0
C,23.0,66.0,22.0,17.0,2.0
C,23.0,67.0,22.0,17.0,2.0
C,23.0,68.0,22.0,17.0,2.0
C,23.0,69.0,22.0,17.0,2.0
A,6.0,135.0,22.0,17.0,2.0
A,11.0,136.0,22.0,17.0,2.0
A,10.0,137.0,22.0,17.0,2.0
A,12.0,138.0,22.0,17.0,2.0
A,11.0,139.0,22.0,17.0,2.0
A,12.0,140.0,22.0,17.0,2.0
A,12.0,141.0,22.0,17.0,2.0
A,9.0,142.0,22.0,17.0,2.0
A,11.0,143.0,22.0,17.0,2.0
A,10.0,144.0,22.0,17.0,2.0
A,10.0,145.0,22.0,17.0,2.0
A,10.0,146.0,22.0,17.0,2.0
A,10.0,147.0,22.0,17.0,2.0
A,11.0,148.0,22.0,17.0,2.0
A,11.0,149.0,22.0,17.0,2.0
A,11.0,150.0,22.0,17.0,2.0
A,11.0,151.0,22.0,17.0,2.0
A,12.0,152.0,22.0,17.0,2.0
A,11.0,153.0,22.0,17.0,2.0
A,10.0,154.0,22.0,17.0,2.0
B,30.0,70.0,22.0,17.0,2.0
B,32.0,71.0,22.0,17.0,2.0
B,30.0,72.0,22.0,17.0,2.0
B,31.0,73.0,22.0,17.0,2.0
B,30.0,74.0,22.0,17.0,2.0
B,30.0,75.0,22.0,17.0,2.0
B,30.0,76.0,22.0,17.0,2.0
B,29.0,77.0,22.0,17.0,2.0
B,29.0,78.0,22.0,17.0,2.0
B,30.0,79.0,22.0,17.0,2.0
D,47.0,33.0,22.0,17.0,2.0
D,51.0,34.0,22.0,17.0,2.0
D,46.0,35.0,22.0,17.0,2.0
D,47.0,36.0,22.0,17.0,2.0
C,23.0,70.0,22.0,17.0,2.0
C,23.0,71.0,22.0,17.0,2.0
C,23.0,72.0,22.0,17.0,2.0
C,23.0,73.0,22.0,17.0,2.0
C,24.0,74.0,22.0,17.0,2.0
C,23.0,75.0,22.0,17.0,2.0
C,24.0,76.0,22.0,17.0,2.0
C,23.0,77.0,22.0,17.0,2.0
C,24.0,78.0,22.0,17.0,2.0
C,24.0,79.0,22.0,17.0,2.0
A,12.0,155.0,22.0,17.0,2.0
A,10.0,156.0,22.0,17.0,2.0
A,10.0,157.0,22.0,17.0,2.0
A,13.0,158.0,22.0,17.0,2.0
A,10.0,159.0,22.0,17.0,2.0
A,11.0,160.0,22.0,17.0,2.0
A,11.0,161.0,22.0,17.0,2.0
A,6.0,162.0,22.0,17.0,2.0
A,9.0,163.0,22.0,17.0,2.0
A,10.0,164.0,22.0,17.0,2.0
A,9.0,165.0,22.0,17.0,2.0
A,9.0,166.0,22.0,17.0,2.0
A,10.0,167.0,22.0,17.0,2.0
A,7.0,168.0,22.0,17.0,2.0
A,7.0,169.0,22.0,17.0,2.0
A,10.0,170.0,22.0,17.0,2.0
A,11.0,171.0,22.0,17.0,2.0
A,8.0,172.0,22.0,17.0,2.0
A,8.0,173.0,22.0,17.0,2.0
B,31.0,80.0,22.0,17.0,2.0
B,31.0,81.0,22.0,17.0,2.0
B,30.0,82.0,22.0,17.0,2.0
B,30.0,83.0,22.0,17.0,2.0
B,30.0,84.0,22.0,17.0,2.0
B,30.0,85.0,22.0,17.0,2.0
B,29.0,86.0,22.0,17.0,2.0
B,30.0,87.0,22.0,17.0,2.0
B,30.0,88.0,22.0,17.0,2.0
D,52.0,37.0,22.0,17.0,2.0
D,47.0,38.0,22.0,17.0,2.0
D,51.0,39.0,22.0,17.0,2.0
D,47.0,40.0,22.0,17.0,2.0
D,47.0,41.0,22.0,17.0,2.0
C,22.0,80.0,22.0,17.0,2.0
C,23.0,81.0,22.0,17.0,2.0
C,24.0,82.0,22.0,17.0,2.0
C,23.0,83.0,22.0,17.0,2.0
C,23.0,84.0,22.0,17.0,2.0
C,23.0,85.0,22.0,17.0,2.0
C,24.0,86.0,22.0,17.0,2.0
C,24.0,87.0,22.0,17.0,2.0
C,25.0,88.0,22.0,17.0,2.0
C,25.0,89.0,22.0,17.0,2.0
A,12.0,174.0,22.0,17.0,2.0
A,11.0,175.0,22.0,17.0,2.0
A,12.0,176.0,22.0,17.0,2.0
A,11.0,177.0,22.0,17.0,2.0
A,11.0,178.0,22.0,17.0,2.0
A,11.0,0.0,21.0,17.0,2.0
A,10.0,1.0,21.0,17.0,2.0
A,9.0,2.0,21.0,17.0,2.0
A,9.0,3.0,21.0,17.0,2.0
A,9.0,4.0,21.0,17.0,2.0
A,8.0,5.0,21.0,17.0,2.0
A,9.0,6.0,21.0,17.0,2.0
A,9.0,7.0,21.0,17.0,2.0
A,9.0,8.0,21.0,17.0,2.0
A,9.0,9.0,21.0,17.0,2.0
A,9.0,10.0,21.0,17.0,2.0
A,10.0,11.0,21.0,17.0,2.0
A,9.0,12.0,21.0,17.0,2.0
A,9.0,13.0,21.0,17.0,2.0
A,9.0,14.0,21.0,17.0,2.0
A,10.0,15.0,21.0,17.0,2.0
A,12.0,16.0,21.0,17.0,2.0
A,12.0,17.0,21.0,17.0,2.0
B,23.0,0.0,21.0,17.0,2.0
B,22.0,1.0,21.0,17.0,2.0
B,25.0,2.0,21.0,17.0,2.0
B,25.0,3.0,21.0,17.0,2.0
B,26.0,4.0,21.0,17.0,2.0
B,26.0,5.0,21.0,17.0,2.0
B,26.0,6.0,21.0,17.0,2.0
B,27.0,7.0,21.0,17.0,2.0
B,29.0,8.0,21.0,17.0,2.0
D,38.0,0.0,21.0,17.0,2.0
D,41.0,1.0,21.0,17.0,2.0
D,40.0,2.0,21.0,17.0,2.0
D,44.0,3.0,21.0,17.0,2.0
C,19.0,0.0,21.0,17.0,2.0
C,20.0,1.0,21.0,17.0,2.0
C,15.0,2.0,21.0,17.0,2.0
C,15.0,3.0,21.0,17.0,2.0
C,20.0,4.0,21.0,17.0,2.0
C,21.0,5.0,21.0,17.0,2.0
C,22.0,6.0,21.0,17.0,2.0
C,21.0,7.0,21.0,17.0,2.0
C,15.0,8.0,21.0,17.0,2.0
A,14.0,18.0,21.0,17.0,2.0
A,15.0,19.0,21.0,17.0,2.0
A,14.0,20.0,21.0,17.0,2.0
A,14.0,21.0,21.0,17.0,2.0
A,14.0,22.0,21.0,17.0,2.0
A,15.0,23.0,21.0,17.0,2.0
A,15.0,24.0,21.0,17.0,2.0
A,15.0,25.0,21.0,17.0,2.0
A,15.0,26.0,21.0,17.0,2.0
A,14.0,27.0,21.0,17.0,2.0
A,14.0,28.0,21.0,17.0,2.0
A,15.0,29.0,21.0,17.0,2.0
A,13.0,30.0,21.0,17.0,2.0
A,13.0,31.0,21.0,17.0,2.0
A,14.0,32.0,21.0,17.0,2.0
A,15.0,33.0,21.0,17.0,2.0
A,15.0,34.0,21.0,17.0,2.0
A,15.0,35.0,21.0,17.0,2.0
A,15.0,36.0,21.0,17.0,2.0
B,30.0,9.0,21.0,17.0,2.0
B,30.0,10.0,21.0,17.0,2.0
B,29.0,11.0,21.0,17.0,2.0
B,28.0,12.0,21.0,17.0,2.0
B,29.0,13.0,21.0,17.0,2.0
B,28.0,14.0,21.0,17.0,2.0
B,27.0,15.0,21.0,17.0,2.0
B,27.0,16.0,21.0,17.0,2.0
B,27.0,17.0,21.0,17.0,2.0
D,47.0,4.0,21.0,17.0,2.0
D,37.0,5.0,21.0,17.0,2.0
D,45.0,6.0,21.0,17.0,2.0
D,45.0,7.0,21.0,17.0,2.0
D,37.0,8.0,21.0,17.0,2.0
D,45.0,9.0,21.0,17.0,2.0
D,35.0,10.0,21.0,17.0,2.0
D,46.0,11.0,21.0,17.0,2.0
D,36.0,12.0,21.0,17.0,2.0
C,23.0,9.0,21.0,17.0,2.0
C,22.0,10.0,21.0,17.0,2.0
C,20.0,11.0,21.0,17.0,2.0
C,20.0,12.0,21.0,17.0,2.0
C,19.0,13.0,21.0,17.0,2.0
C,19.0,14.0,21.0,17.0,2.0
C,19.0,15.0,21.0,17.0,2.0
C,19.0,16.0,21.0,17.0,2.0
C,19.0,17.0,21.0,17.0,2.0
A,16.0,37.0,21.0,17.0,2.0
A,15.0,38.0,21.0,17.0,2.0
A,15.0,39.0,21.0,17.0,2.0
A,17.0,40.0,21.0,17.0,2.0
A,15.0,41.0,21.0,17.0,2.0
A,17.0,42.0,21.0,17.0,2.0
A,16.0,43.0,21.0,17.0,2.0
A,16.0,44.0,21.0,17.0,2.0
A,15.0,45.0,21.0,17.0,2.0
A,15.0,46.0,21.0,17.0,2.0
A,15.0,47.0,21.0,17.0,2.0
A,16.0,48.0,21.0,17.0,2.0
A,16.0,49.0,21.0,17.0,2.0
A,17.0,50.0,21.0,17.0,2.0
A,15.0,51.0,21.0,17.0,2.0
A,16.0,52.0,21.0,17.0,2.0
A,15.0,53.0,21.0,17.0,2.0
A,16.0,54.0,21.0,17.0,2.0
A,16.0,55.0,21.0,17.0,2.0
B,21.0,18.0,21.0,17.0,2.0
B,23.0,19.0,21.0,17.0,2.0
B,24.0,20.0,21.0,17.0,2.0
B,24.0,21.0,21.0,17.0,2.0
B,24.0,22.0,21.0,17.0,2.0
B,24.0,23.0,21.0,17.0,2.0
B,23.0,24.0,21.0,17.0,2.0
B,22.0,25.0,21.0,17.0,2.0
B,23.0,26.0,21.0,17.0,2.0
D,47.0,13.0,21.0,17.0,2.0
D,35.0,14.0,21.0,17.0,2.0
D,46.0,15.0,21.0,17.0,2.0
D,34.0,16.0,21.0,17.0,2.0
D,45.0,17.0,21.0,17.0,2.0
D,32.0,18.0,21.0,17.0,2.0
D,33.0,19.0,21.0,17.0,2.0
D,45.0,20.0,21.0,17.0,2.0
C,25.0,18.0,21.0,17.0,2.0
C,24.0,19.0,21.0,17.0,2.0
C,23.0,20.0,21.0,17.0,2.0
C,23.0,21.0,21.0,17.0,2.0
C,21.0,22.0,21.0,17.0,2.0
C,20.0,23.0,21.0,17.0,2.0
C,21.0,24.0,21.0,17.0,2.0
C,20.0,25.0,21.0,17.0,2.0
C,21.0,26.0,21.0,17.0,2.0
A,16.0,56.0,21.0,17.0,2.0
A,16.0,57.0,21.0,17.0,2.0
A,16.0,58.0,21.0,17.0,2.0
A,16.0,59.0,21.0,17.0,2.0
A,16.0,60.0,21.0,17.0,2.0
A,16.0,61.0,21.0,17.0,2.0
A,15.0,62.0,21.0,17.0,2.0
A,17.0,63.0,21.0,17.0,2.0
A,16.0,64.0,21.0,17.0,2.0
A,16.0,65.0,21.0,17.0,2.0
A,16.0,66.0,21.0,17.0,2.0
A,16.0,67.0,21.0,17.0,2.0
A,16.0,68.0,21.0,17.0,2.0
A,16.0,69.0,21.0,17.0,2.0
A,16.0,70.0,21.0,17.0,2.0
A,17.0,71.0,21.0,17.0,2.0
A,16.0,72.0,21.0,17.0,2.0
A,16.0,73.0,21.0,17.0,2.0
A,16.0,74.0,21.0,17.0,2.0
B,27.0,27.0,21.0,17.0,2.0
B,27.0,28.0,21.0,17.0,2.0
B,27.0,29.0,21.0,17.0,2.0
B,27.0,30.0,21.0,17.0,2.0
B,28.0,31.0,21.0,17.0,2.0
B,24.0,32.0,21.0,17.0,2.0
B,24.0,33.0,21.0,17.0,2.0
B,25.0,34.0,21.0,17.0,2.0
B,24.0,35.0,21.0,17.0,2.0
D,51.0,21.0,21.0,17.0,2.0
D,51.0,22.0,21.0,17.0,2.0
D,40.0,23.0,21.0,17.0,2.0
D,52.0,24.0,21.0,17.0,2.0
D,39.0,25.0,21.0,17.0,2.0
D,51.0,26.0,21.0,17.0,2.0
D,37.0,27.0,21.0,17.0,2.0
D,50.0,28.0,21.0,17.0,2.0
D,36.0,29.0,21.0,17.0,2.0
C,20.0,27.0,21.0,17.0,2.0
C,21.0,28.0,21.0,17.0,2.0
C,20.0,29.0,21.0,17.0,2.0
C,19.0,30.0,21.0,17.0,2.0
C,19.0,31.0,21.0,17.0,2.0
C,19.0,32.0,21.0,17.0,2.0
C,19.0,33.0,21.0,17.0,2.0
C,17.0,34.0,21.0,17.0,2.0
C,18.0,35.0,21.0,17.0,2.0
A,18.0,75.0,21.0,17.0,2.0
A,19.0,76.0,21.0,17.0,2.0
A,17.0,77.0,21.0,17.0,2.0
A,17.0,78.0,21.0,17.0,2.0
A,17.0,79.0,21.0,17.0,2.0
A,18.0,80.0,21.0,17.0,2.0
A,17.0,81.0,21.0,17.0,2.0
A,17.0,82.0,21.0,17.0,2.0
A,17.0,83.0,21.0,17.0,2.0
A,17.0,84.0,21.0,17.0,2.0
A,16.0,85.0,21.0,17.0,2.0
A,17.0,86.0,21.0,17.0,2.0
A,17.0,87.0,21.0,17.0,2.0
A,18.0,88.0,21.0,17.0,2.0
A,16.0,89.0,21.0,17.0,2.0
A,17.0,90.0,21.0,17.0,2.0
A,16.0,91.0,21.0,17.0,2.0
A,17.0,92.0,21.0,17.0,2.0
A,16.0,93.0,21.0,17.0,2.0
A,17.0,94.0,21.0,17.0,2.0
B,26.0,36.0,21.0,17.0,2.0
B,27.0,37.0,21.0,17.0,2.0
B,26.0,38.0,21.0,17.0,2.0
B,26.0,39.0,21.0,17.0,2.0
B,26.0,40.0,21.0,17.0,2.0
B,26.0,41.0,21.0,17.0,2.0
B,27.0,42.0,21.0,17.0,2.0
B,27.0,43.0,21.0,17.0,2.0
B,27.0,44.0,21.0,17.0,2.0
B,27.0,45.0,21.0,17.0,2.0
D,36.0,30.0,21.0,17.0,2.0
D,50.0,31.0,21.0,17.0,2.0
D,35.0,32.0,21.0,17.0,2.0
D,49.0,33.0,21.0,17.0,2.0
D,35.0,34.0,21.0,17.0,2.0
D,35.0,35.0,21.0,17.0,2.0
D,49.0,36.0,21.0,17.0,2.0
D,35.0,37.0,21.0,17.0,2.0
C,17.0,36.0,21.0,17.0,2.0
C,18.0,37.0,21.0,17.0,2.0
C,19.0,38.0,21.0,17.0,2.0
C,19.0,39.0,21.0,17.0,2.0
C,19.0,40.0,21.0,17.0,2.0
C,20.0,41.0,21.0,17.0,2.0
C,19.0,42.0,21.0,17.0,2.0
C,18.0,43.0,21.0,17.0,2.0
C,18.0,44.0,21.0,17.0,2.0
C,18.0,45.0,21.0,17.0,2.0
A,19.0,95.0,21.0,17.0,2.0
A,19.0,96.0,21.0,17.0,2.0
A,17.0,97.0,21.0,17.0,2.0
A,17.0,98.0,21.0,17.0,2.0
A,18.0,99.0,21.0,17.0,2.0
A,18.0,100.0,21.0,17.0,2.0
A,17.0,101.0,21.0,17.0,2.0
A,17.0,102.0,21.0,17.0,2.0
A,16.0,103.0,21.0,17.0,2.0
A,16.0,104.0,21.0,17.0,2.0
